iter	Logloss
0	0.6928034694
1	0.6924145757
2	0.6921020153
3	0.6918656624
4	0.6916026152
5	0.6912857796
6	0.6910034812
7	0.6905918285
8	0.6902592079
9	0.6899307652
10	0.6895607761
11	0.6892536099
12	0.689001097
13	0.688674016
14	0.6884364342
15	0.6881583939
16	0.6879722498
17	0.6876818663
18	0.6875946736
19	0.6873310626
20	0.6871787769
21	0.6869748824
22	0.6868761424
23	0.6867006678
24	0.6864686706
25	0.686277839
26	0.6861127468
27	0.68593435
28	0.6857640066
29	0.6856142081
30	0.6854504159
31	0.6853416176
32	0.6851391472
33	0.6848862633
34	0.6847173412
35	0.6844869689
36	0.6842617711
37	0.6841533729
38	0.684026571
39	0.6838685004
40	0.683703424
41	0.6835478491
42	0.6834960771
43	0.6833668528
44	0.6832865612
45	0.6831529116
46	0.6830352362
47	0.6829377644
48	0.6827843837
49	0.6826107288
50	0.6824693379
51	0.6823436193
52	0.6821813196
53	0.6820683058
54	0.6819301717
55	0.6818217123
56	0.6817013698
57	0.6815750877
58	0.681491016
59	0.6813859914
60	0.6812852185
61	0.6810878791
62	0.6809459137
63	0.6808210719
64	0.6806249343
65	0.6804267775
66	0.6803044342
67	0.6802240659
68	0.6800833738
69	0.6799449282
70	0.6798272168
71	0.6797138123
72	0.6796280452
73	0.6795422353
74	0.6795274673
75	0.6793977475
76	0.6793240659
77	0.6792399147
78	0.6791366843
79	0.6789903333
80	0.6788547974
81	0.6787700425
82	0.678680614
83	0.678557388
84	0.6783785183
85	0.6783050002
86	0.6782702279
87	0.6781181367
88	0.6780201031
89	0.6779948734
90	0.6779474692
91	0.6777958876
92	0.6777518189
93	0.6776656262
94	0.6774824545
95	0.6774692744
96	0.6773705168
97	0.6772329063
98	0.6772106968
99	0.6771224468
100	0.6770018927
101	0.6768716233
102	0.6767429725
103	0.6765681214
104	0.6764435517
105	0.6763554266
106	0.6763522564
107	0.6762889659
108	0.6761910863
109	0.6760957217
110	0.6760300326
111	0.6759126173
112	0.6758385159
113	0.675770913
114	0.6756249659
115	0.6755184626
116	0.6754200673
117	0.675293338
118	0.6751709761
119	0.6750142454
120	0.6749179136
121	0.6748317292
122	0.6747510644
123	0.674638385
124	0.6745702889
125	0.6744741552
126	0.6744267208
127	0.6743431758
128	0.6743341199
129	0.6742446292
130	0.6741556745
131	0.6741166276
132	0.6740183974
133	0.6739566429
134	0.6738289226
135	0.6736970644
136	0.6736364472
137	0.6735809204
138	0.6735057001
139	0.6733374587
140	0.6733062567
141	0.6731791923
142	0.6729939197
143	0.6729146088
144	0.6727706851
145	0.6727039462
146	0.6726564022
147	0.6724659356
148	0.672357937
149	0.6723118071
150	0.6722632862
151	0.672125125
152	0.6720086749
153	0.6719335289
154	0.6718236709
155	0.6717401922
156	0.6716624556
157	0.6716149795
158	0.6715225486
159	0.67139355
160	0.6712985305
161	0.6712286165
162	0.6710566355
163	0.6709286289
164	0.6708617227
165	0.670770074
166	0.6707700739
167	0.6707101216
168	0.6706262499
169	0.6705522139
170	0.670457508
171	0.6703572887
172	0.670284702
173	0.6701479607
174	0.670061636
175	0.6699964564
176	0.6699499325
177	0.6697948778
178	0.6697191845
179	0.6695882166
180	0.6694858585
181	0.6693757162
182	0.669240176
183	0.6691160156
184	0.6690286348
185	0.6689896563
186	0.6688659928
187	0.6687787489
188	0.6686901651
189	0.6686122532
190	0.668515637
191	0.6684585621
192	0.6683781732
193	0.6682500835
194	0.6682294549
195	0.6681711212
196	0.6680694035
197	0.6679711986
198	0.667904294
199	0.6678520468
200	0.6677811371
201	0.667731887
202	0.6676765546
203	0.6676123838
204	0.6675553707
205	0.6674685952
206	0.6674034407
207	0.6672994243
208	0.6672235902
209	0.66710977
210	0.6670319413
211	0.6669386983
212	0.6668474037
213	0.6667683595
214	0.6667162553
215	0.6666555176
216	0.6665195975
217	0.6663823213
