iter	Passed	Remaining
0	69	69133
1	159	79611
2	237	79027
3	307	76532
4	401	79851
5	487	80781
6	563	79942
7	637	78989
8	735	81001
9	824	81591
10	917	82480
11	989	81477
12	1057	80263
13	1134	79885
14	1211	79570
15	1320	81218
16	1411	81613
17	1492	81413
18	1535	79266
19	1609	78855
20	1683	78489
21	1766	78518
22	1930	82005
23	2058	83702
24	2187	85294
25	2301	86227
26	2427	87463
27	2546	88407
28	2680	89735
29	2804	90676
30	2933	91699
31	3037	91895
32	3154	92435
33	3257	92562
34	3391	93520
35	3495	93602
36	3593	93517
37	3699	93665
38	3818	94092
39	3965	95174
40	4072	95265
41	4233	96571
42	4375	97388
43	4626	100522
44	4757	100968
45	4884	101297
46	4985	101086
47	5109	101331
48	5254	101975
49	5351	101685
50	5445	101333
51	5563	101424
52	5687	101619
53	5802	101658
54	5905	101475
55	6014	101388
56	6121	101275
57	6231	101213
58	6323	100859
59	6418	100551
60	6544	100746
61	6654	100670
62	6782	100879
63	6901	100928
64	7026	101070
65	7158	101305
66	7294	101572
67	7411	101585
68	7540	101746
69	7673	101946
70	7829	102446
71	7997	103074
72	8131	103258
73	8240	103119
74	8280	102125
75	8385	101949
76	8506	101967
77	8625	101956
78	8726	101735
79	8850	101782
80	8970	101776
81	9083	101689
82	9192	101556
83	9336	101809
84	9468	101929
85	9599	102019
86	9707	101869
87	9801	101578
88	9905	101391
89	9961	100716
90	10033	100224
91	10107	99754
92	10184	99325
93	10271	98999
94	10357	98672
95	10402	97953
96	10494	97694
97	10582	97405
98	10639	96832
99	10718	96466
100	10810	96224
101	10912	96075
102	10993	95739
103	11074	95409
104	11166	95180
105	11247	94857
106	11282	94162
107	11367	93889
108	11446	93571
109	11531	93303
110	11621	93073
111	11716	92891
112	11816	92750
113	11908	92549
114	11985	92237
115	12066	91955
116	12159	91766
117	12244	91524
118	12332	91300
119	12407	90991
120	12482	90681
121	12569	90461
122	12661	90277
123	12749	90069
124	12825	89776
125	12933	89714
126	13028	89558
127	13120	89386
128	13161	88865
129	13239	88600
130	13314	88320
131	13398	88104
132	13471	87815
133	13541	87514
134	13634	87362
135	13720	87168
136	13810	86997
137	13884	86725
138	14001	86725
139	14097	86598
140	14176	86367
141	14255	86134
142	14349	85996
143	14445	85868
144	14556	85833
145	14650	85696
146	14777	85748
147	14951	86074
148	15094	86211
149	15169	85960
150	15248	85733
151	15325	85499
152	15411	85315
153	15513	85222
154	15605	85073
155	15688	84880
156	15769	84672
157	15861	84530
158	15948	84355
159	16147	84775
160	16255	84709
161	16334	84494
162	16421	84322
163	16508	84151
164	16604	84029
165	16701	83910
166	16735	83474
167	16866	83531
168	16979	83493
169	17082	83405
170	17195	83362
171	17314	83352
172	17445	83395
173	17565	83384
174	17702	83452
175	17821	83439
176	17926	83354
177	18034	83280
178	18154	83265
179	18299	83365
180	18440	83438
181	18545	83351
182	18653	83276
183	18769	83239
184	18906	83289
185	19031	83287
186	19178	83378
187	19322	83455
188	19461	83508
189	19605	83580
190	19777	83770
191	19911	83796
192	20021	83716
193	20126	83618
194	20253	83611
195	20394	83661
196	20509	83598
197	20618	83516
198	20749	83517
199	20873	83492
200	21034	83614
201	21170	83634
202	21291	83594
203	21406	83526
204	21528	83489
205	21640	83409
206	21748	83315
207	21854	83215
208	21973	83162
209	22087	83089
210	22206	83036
211	22312	82933
212	22434	82893
213	22545	82807
214	22650	82699
215	22765	82631
216	22883	82570
217	23035	82630
218	23156	82582
219	23289	82571
220	23429	82586
221	23576	82623
222	23715	82632
223	23843	82599
224	23940	82462
225	24096	82525
226	24234	82524
227	24405	82636
228	24537	82613
229	24648	82519
230	24775	82476
231	24882	82368
232	25017	82353
233	25137	82287
234	25292	82333
235	25421	82295
236	25549	82255
237	25757	82465
238	25876	82393
239	25989	82298
240	26103	82209
241	26210	82097
242	26319	81992
243	26443	81931
244	26557	81840
245	26670	81745
246	26776	81629
247	26892	81546
248	27004	81448
249	27128	81384
250	27246	81304
251	27353	81192
252	27464	81090
253	27610	81092
254	27759	81101
255	27883	81037
256	28015	80993
257	28147	80951
258	28268	80876
259	28370	80747
260	28523	80761
261	28678	80781
262	28826	80779
263	28993	80830
264	29143	80831
265	29260	80741
266	29371	80634
267	29477	80513
268	29598	80432
269	29747	80429
270	29883	80387
271	30019	80345
272	30136	80253
273	30252	80157
274	30424	80210
275	30549	80137
276	30659	80023
277	30780	79940
278	30897	79846
279	31002	79721
280	31106	79593
281	31224	79501
282	31336	79393
283	31458	79311
284	31588	79248
285	31705	79153
286	31860	79151
287	31973	79044
288	32084	78933
289	32193	78819
290	32321	78747
291	32476	78744
292	32592	78644
293	32723	78580
294	32868	78550
295	33007	78504
296	33139	78441
297	33275	78386
298	33422	78358
299	33554	78294
300	33760	78401
301	33888	78324
302	34003	78219
303	34111	78096
304	34216	77968
305	34343	77890
306	34466	77801
307	34605	77748
308	34731	77668
309	34845	77558
310	34971	77477
311	35119	77442
312	35255	77382
313	35358	77248
314	35465	77122
315	35588	77032
316	35698	76914
317	35809	76799
318	35924	76690
319	36056	76619
320	36177	76525
321	36284	76399
322	36403	76300
323	36533	76223
324	36637	76094
325	36746	75973
326	36884	75912
327	37016	75838
328	37157	75783
329	37286	75703
330	37436	75664
331	37583	75619
332	37719	75552
333	37865	75503
334	38001	75436
335	38114	75321
336	38229	75211
337	38413	75236
338	38539	75146
339	38662	75051
340	38782	74948
341	38913	74867
342	39036	74771
343	39174	74705
344	39293	74600
345	39408	74488
346	39523	74377
347	39675	74334
348	39811	74261
349	39941	74177
350	40070	74089
351	40199	74003
352	40358	73970
353	40486	73882
354	40605	73777
355	40733	73685
356	40849	73574
357	40954	73443
358	41075	73341
359	41199	73243
360	41302	73109
361	41403	72970
362	41550	72913
363	41675	72817
364	41795	72712
365	41920	72615
366	42065	72555
367	42221	72511
368	42364	72444
369	42483	72336
370	42667	72338
371	42835	72313
372	42995	72274
373	43111	72159
374	43231	72052
375	43343	71932
376	43464	71825
377	43588	71724
378	43712	71623
379	43845	71538
380	43973	71442
381	44094	71335
382	44231	71255
383	44394	71215
384	44527	71127
385	44639	71006
386	44750	70883
387	44855	70751
388	44973	70639
389	45110	70557
390	45231	70450
391	45349	70337
392	45453	70203
393	45557	70070
394	45699	69994
395	45817	69883
396	45939	69776
397	46074	69690
398	46248	69662
399	46416	69625
400	46579	69578
401	46719	69498
402	46859	69416
403	47021	69368
404	47195	69336
405	47377	69315
406	47533	69255
407	47703	69216
408	47837	69124
409	47971	69031
410	48101	68934
411	48268	68887
412	48427	68830
413	48576	68757
414	48740	68706
415	48870	68606
416	48979	68477
417	49124	68398
418	49317	68385
419	49475	68323
420	49603	68219
421	49718	68097
422	49838	67982
423	49983	67901
424	50097	67778
425	50217	67664
426	50334	67544
427	50452	67427
428	50582	67325
429	50712	67223
430	50832	67107
431	50948	66988
432	51073	66879
433	51206	66781
434	51332	66673
435	51492	66610
436	51637	66525
437	51790	66452
438	51901	66325
439	52047	66242
440	52172	66132
441	52316	66047
442	52474	65977
443	52616	65888
444	52734	65770
445	52847	65644
446	52970	65531
447	53105	65433
448	53223	65314
449	53379	65241
450	53504	65130
451	53652	65047
452	53798	64961
453	53910	64834
454	54027	64714
455	54144	64593
456	54261	64472
457	54370	64342
458	54490	64224
459	54626	64126
460	54736	63997
461	54849	63871
462	54963	63748
463	55091	63640
464	55206	63516
465	55320	63392
466	55442	63278
467	55564	63163
468	55694	63056
469	55847	62977
470	55956	62847
471	56097	62752
472	56252	62674
473	56404	62592
474	56542	62494
475	56678	62393
476	56851	62334
477	57014	62263
478	57158	62170
479	57291	62065
480	57397	61932
481	57518	61814
482	57650	61709
483	57788	61608
484	57906	61488
485	58049	61394
486	58174	61280
487	58289	61156
488	58471	61101
489	58599	60990
490	58722	60875
491	58831	60745
492	58950	60624
493	59072	60507
494	59188	60384
495	59297	60254
496	59414	60131
497	59520	59998
498	59640	59879
499	59772	59772
500	59890	59651
501	60004	59526
502	60118	59401
503	60226	59270
504	60361	59166
505	60493	59059
506	60621	58947
507	60761	58847
508	60897	58744
509	61066	58671
510	61219	58583
511	61356	58480
512	61491	58374
513	61708	58346
514	61829	58228
515	61956	58114
516	62076	57994
517	62184	57863
518	62303	57741
519	62436	57633
520	62576	57531
521	62721	57434
522	62848	57320
523	63019	57246
524	63147	57133
525	63267	57013
526	63381	56887
527	63510	56774
528	63627	56650
529	63756	56538
530	63877	56418
531	63987	56289
532	64110	56171
533	64219	56042
534	64338	55920
535	64469	55809
536	64584	55684
537	64705	55564
538	64836	55453
539	64976	55350
540	65118	55248
541	65243	55131
542	65395	55038
543	65550	54946
544	65708	54857
545	65860	54763
546	66000	54658
547	66157	54567
548	66318	54480
549	66503	54411
550	66634	54299
551	66740	54166
552	66854	54040
553	66967	53912
554	67101	53802
555	67236	53692
556	67350	53565
557	67479	53451
558	67613	53340
559	67783	53258
560	67934	53160
561	68045	53031
562	68187	52927
563	68304	52802
564	68415	52673
565	68526	52545
566	68651	52426
567	68778	52310
568	68895	52186
569	69009	52059
570	69155	51957
571	69287	51844
572	69403	51719
573	69514	51591
574	69636	51470
575	69761	51352
576	69877	51227
577	70028	51127
578	70174	51024
579	70288	50898
580	70435	50796
581	70579	50690
582	70702	50571
583	70832	50455
584	70998	50366
585	71123	50247
586	71268	50142
587	71420	50042
588	71540	49920
589	71665	49801
590	71785	49678
591	71908	49558
592	72038	49442
593	72157	49320
594	72292	49207
595	72450	49110
596	72592	49003
597	72706	48876
598	72823	48751
599	72938	48625
600	73041	48491
601	73159	48368
602	73288	48251
603	73411	48130
604	73519	48000
605	73634	47874
606	73772	47763
607	73892	47641
608	74006	47515
609	74118	47387
610	74282	47292
611	74426	47185
612	74579	47083
613	74722	46975
614	74879	46875
615	75024	46768
616	75154	46651
617	75323	46559
618	75477	46457
619	75624	46350
620	75817	46271
621	75970	46168
622	76130	46069
623	76283	45965
624	76410	45846
625	76561	45740
626	76708	45633
627	76830	45510
628	76942	45382
629	77054	45253
630	77255	45177
631	77416	45077
632	77565	44970
633	77695	44852
634	77815	44728
635	77971	44625
636	78104	44508
637	78240	44393
638	78393	44288
639	78525	44170
640	78674	44062
641	78781	43931
642	78904	43808
643	79040	43693
644	79169	43573
645	79288	43448
646	79428	43335
647	79601	43240
648	79739	43125
649	79909	43028
650	80078	42930
651	80211	42812
652	80382	42714
653	80539	42609
654	80686	42498
655	80841	42392
656	80998	42286
657	81145	42175
658	81306	42071
659	81437	41952
660	81556	41827
661	81682	41704
662	81817	41587
663	81958	41472
664	82072	41344
665	82199	41223
666	82340	41108
667	82500	41003
668	82666	40900
669	82798	40781
670	82930	40661
671	83067	40544
672	83230	40440
673	83381	40329
674	83530	40218
675	83661	40098
676	83779	39971
677	83900	39846
678	84052	39736
679	84207	39626
680	84317	39496
681	84458	39380
682	84588	39259
683	84709	39134
684	84819	39004
685	84933	38876
686	85043	38746
687	85155	38617
688	85273	38490
689	85385	38361
690	85512	38239
691	85639	38117
692	85757	37990
693	85865	37860
694	86005	37743
695	86139	37624
696	86304	37518
697	86435	37397
698	86590	37287
699	86742	37175
700	86895	37063
701	87030	36944
702	87178	36830
703	87351	36727
704	87486	36607
705	87617	36486
706	87758	36369
707	87879	36243
708	87990	36114
709	88138	36000
710	88260	35875
711	88375	35747
712	88480	35615
713	88661	35514
714	88811	35400
715	88928	35273
716	89054	35149
717	89183	35027
718	89305	34902
719	89427	34777
720	89538	34648
721	89649	34518
722	89782	34397
723	89902	34272
724	90014	34143
725	90141	34020
726	90267	33897
727	90376	33767
728	90479	33635
729	90633	33522
730	90761	33399
731	90866	33268
732	91003	33148
733	91146	33031
734	91297	32916
735	91446	32801
736	91580	32680
737	91723	32563
738	91880	32450
739	92039	32338
740	92186	32221
741	92339	32107
742	92477	31987
743	92626	31871
744	92768	31753
745	92897	31629
746	93028	31507
747	93137	31377
748	93260	31252
749	93423	31141
750	93566	31022
751	93715	30906
752	93844	30782
753	93988	30664
754	94128	30545
755	94270	30425
756	94413	30307
757	94546	30184
758	94675	30061
759	94806	29938
760	94930	29813
761	95066	29692
762	95210	29573
763	95337	29449
764	95448	29320
765	95598	29203
766	95708	29074
767	95821	28946
768	95936	28818
769	96046	28689
770	96165	28562
771	96284	28436
772	96391	28306
773	96518	28182
774	96634	28055
775	96754	27929
776	96889	27807
777	97010	27681
778	97117	27552
779	97228	27423
780	97361	27301
781	97515	27184
782	97649	27062
783	97779	26939
784	97944	26825
785	98101	26709
786	98223	26583
787	98360	26462
788	98489	26338
789	98598	26209
790	98728	26086
791	98870	25966
792	98986	25838
793	99121	25716
794	99220	25585
795	99312	25452
796	99394	25316
797	99475	25180
798	99568	25047
799	99655	24913
800	99753	24782
801	99851	24651
802	99932	24516
803	100024	24384
804	100122	24253
805	100202	24118
806	100283	23983
807	100377	23851
808	100465	23719
809	100579	23592
810	100667	23460
811	100761	23328
812	100850	23196
813	100936	23064
814	101022	22931
815	101117	22800
816	101199	22667
817	101284	22535
818	101369	22402
819	101456	22270
